state_fips,year,state,target_source_token,crushed_stone_sold_used_metric_tons,target_withheld,target_includes_agency_estimates,housing_units_authorized,housing_units_reported,permits_include_census_imputation,permits_universe_change,fhwa_state_token,highway_capital_outlays_nominal_thousand_usd,highway_construction_preservation_nominal_thousand_usd,fhwa_reported_year,fhwa_footnote,fhwa_year_matches,fhwa_provenance,construction_gdp_chained_2017_million_usd,total_gdp_chained_2017_million_usd,personal_income_nominal_million_usd,series_id,heavy_civil_employment_thousands,bls_months,industrial_distillate_price_per_mmbtu,industrial_electricity_price_per_mmbtu,industrial_natural_gas_price_per_mmbtu,industrial_energy_price_per_mmbtu,private_nonresidential_nominal_million_usd,private_nonresidential_nominal_million_usd_source_file,state_local_construction_nominal_million_usd,state_local_construction_nominal_million_usd_source_file,active_stone_mines,stone_mine_employees,stone_mine_employee_hours,stone_mine_operations,msha_no_qualifying_activity,msha_uses_current_commodity,msha_activity_not_rated_capacity,cpi_index,cpi_index_observations,mortgage_rate_pct,mortgage_rate_pct_observations,inflation_pct,cpi_2017_multiplier,highway_capital_outlays_2017_million_usd,highway_preservation_2017_million_usd,private_nonresidential_2017_million_usd,state_local_construction_2017_million_usd,industrial_energy_2017_usd_per_mmbtu,lag1_crushed_stone_sold_used_metric_tons,lag1_housing_units_authorized,lag1_highway_capital_outlays_2017_million_usd,lag1_construction_gdp_chained_2017_million_usd,lag1_heavy_civil_employment_thousands,lag1_industrial_energy_2017_usd_per_mmbtu,lag1_active_stone_mines,lag1_stone_mine_employee_hours,lag1_private_nonresidential_2017_million_usd,lag1_state_local_construction_2017_million_usd,lag1_source_year,target_observed,eligible_explanation,eligible_prediction,dataset_stage
01,2015,Alabama,35300000,35300000,FALSE,TRUE,14054,13096,TRUE,FALSE,Alabama,827758,764600,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled,8009.1,208950.3,187474.7,SMU01000002023700001,15.508333333333333,12,13.63,17.68,3.98,7.74,2904,nrstatehs1,3569,slstatehs,68,659,1421475,68,FALSE,TRUE,TRUE,237.00175,12,3.850576923076923,52,0.12113723253701636,1.0342581858572777,856.1154874088485,790.7938089064745,3003.4857717295345,3691.267465324624,8.00515835853533,,,,,,,,,,,,TRUE,TRUE,FALSE,approved_gate1_design; model_choice_pending_gate2
01,2016,Alabama,37500000,37500000,FALSE,TRUE,15001,14278,TRUE,FALSE,Alabama,777419,736635,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled,8509.7,212862.8,190871.8,SMU01000002023700001,16.125,12,12.02,17.71,3.69,7.3,3090,nrstatehs1,3392,slstatehs,70,697,1488612,70,FALSE,TRUE,TRUE,240.00541666666663,12,3.6540384615384616,52,1.2673605433996429,1.0213144495002715,793.9892580160515,752.3359695076325,3155.861648955839,3464.2986127049207,7.455595481351982,35300000,14054,856.1154874088485,8009.1,15.508333333333333,8.00515835853533,68,1421475,3003.4857717295345,3691.267465324624,2015,TRUE,TRUE,TRUE,approved_gate1_design; model_choice_pending_gate2
01,2017,Alabama,37600000,37600000,FALSE,TRUE,14799,13245,TRUE,FALSE,Alabama,792071,733694,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled,8824.8,216615.5,197963.8,SMU01000002023700001,17.05,12,14.63,18.05,4.11,7.69,3156,nrstatehs1,2874,slstatehs,69,663,1440006,69,FALSE,TRUE,TRUE,245.121,12,3.989807692307693,52,2.1314449500271726,1,792.071,733.694,3156,2874,7.69,37500000,15001,793.9892580160515,8509.7,16.125,7.455595481351982,70,1488612,3155.861648955839,3464.2986127049207,2016,TRUE,TRUE,TRUE,approved_gate1_design; model_choice_pending_gate2
01,2018,Alabama,36900000,36900000,FALSE,TRUE,14824,13414,TRUE,FALSE,Alabama,1606033,25492,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled,9193.6,220808.8,205674.2,SMU01000002023700001,17.241666666666667,12,17.98,17.62,4.11,7.72,4165,nrstatehs1,3360,slstatehs,74,677,1429150,74,FALSE,TRUE,TRUE,251.0995,12,4.544615384615384,52,2.438999514525486,0.9761907132431566,1567.7944997620466,24.88505366199455,4065.8343206577474,3280.0007964970064,7.536192306237169,37600000,14799,792.071,8824.8,17.05,7.69,69,1440006,3156,2874,2017,TRUE,TRUE,TRUE,approved_gate1_design; model_choice_pending_gate2
01,2019,Alabama,41100000,41100000,FALSE,TRUE,17748,17237,TRUE,FALSE,Alabama,1387759,930440,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled,9821.6,225272.8,215151.8,SMU01000002023700001,17.575,12,16.59,17.44,3.84,7.5,4844,nrstatehs1,3802,slstatehs,75,731,1571504,75,FALSE,TRUE,TRUE,255.65258333333333,12,3.935769230769231,52,1.8132586219141489,0.958805097151701,1330.5904028181476,892.1106145938288,4644.45189060284,3645.3769793707675,7.191038228637757,36900000,14824,1567.7944997620466,9193.6,17.241666666666667,7.536192306237169,74,1429150,4065.8343206577474,3280.0007964970064,2018,TRUE,TRUE,TRUE,approved_gate1_design; model_choice_pending_gate2
01,2020,Alabama,40700000,40700000,FALSE,TRUE,19982,17023,TRUE,FALSE,Alabama,1153775,692566,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled,10006.9,223025.5,230878.4,SMU01000002023700001,16.858333333333334,12,11.53,17.21,3.44,6.88,5855,nrstatehs1,3936,slstatehs,74,740,1545264,74,FALSE,TRUE,TRUE,258.85575,12,3.111698113207547,53,1.2529373358571627,0.9469405257561404,1092.556305104291,655.8188121608272,5544.336778302202,3727.157909376169,6.514950817202246,41100000,17748,1330.5904028181476,9821.6,17.575,7.191038228637757,75,1571504,4644.45189060284,3645.3769793707675,2019,TRUE,TRUE,TRUE,approved_gate1_design; model_choice_pending_gate2
01,2021,Alabama,43800000,43800000,FALSE,TRUE,22100,19686,TRUE,FALSE,Alabama,925510,591614,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled,10365.4,233951.1,255682.3,SMU01000002023700001,16.958333333333332,12,17.74,18.54,4.71,8.11,5083,nrstatehs1,3025,slstatehs,76,752,1623449,76,FALSE,TRUE,TRUE,270.97341666666665,12,2.957692307692308,52,4.681242996018686,0.9045942698561144,837.2110426945324,535.1706343666552,4598.05267367863,2736.397666314746,7.336259528533087,40700000,19982,1092.556305104291,10006.9,16.858333333333334,6.514950817202246,74,1545264,5544.336778302202,3727.157909376169,2020,TRUE,TRUE,TRUE,approved_gate1_design; model_choice_pending_gate2
01,2022,Alabama,43600000,43600000,FALSE,TRUE,19499,16793,TRUE,FALSE,Alabama,1266049,1225238,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled,9693.1,239846.6,262425.8,SMU01000002023700001,18.275,12,27.8,22.62,7.64,11.29,4657,nrstate,3949,slstate,78,797,1709666,78,FALSE,TRUE,TRUE,292.62641666666667,12,5.344038461538461,52,7.990820747791694,0.8376584820748412,1060.5166835723705,1026.3310032604143,3900.9755510225355,3307.9133457135476,9.457164262624955,43800000,22100,837.2110426945324,10365.4,16.958333333333332,7.336259528533087,76,1623449,4598.05267367863,2736.397666314746,2021,TRUE,TRUE,TRUE,approved_gate1_design; model_choice_pending_gate2
01,2023,Alabama,43300000,43300000,FALSE,TRUE,20337,17974,TRUE,TRUE,Alabama,968233,939928,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled,9877.3,248313.7,279484.6,SMU01000002023700001,18.083333333333332,12,22.42,20.82,4.4,9.36,7006,nrstate,4841,slstate,80,831,1740619,80,FALSE,TRUE,TRUE,304.70300000000003,12,6.80673076923077,52,4.126962791295052,0.8044587680462614,778.9035263617358,756.1333209321864,5636.038128932108,3894.384896111951,7.529734068913006,43600000,19499,1060.5166835723705,9693.1,18.275,9.457164262624955,78,1709666,3900.9755510225355,3307.9133457135476,2022,TRUE,TRUE,TRUE,approved_gate1_design; model_choice_pending_gate2
02,2015,Alaska,1040000,1040000,FALSE,TRUE,1298,454,TRUE,FALSE,Alaska,792549,582065,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled,2708.7,53681.1,41918.6,,,,21.58,42.57,6.85,22.07,475,nrstatehs1,3263,slstatehs,27,108,88933,27,FALSE,TRUE,TRUE,237.00175,12,3.850576923076923,52,0.12113723253701636,1.0342581858572777,819.7002909429996,602.0054909510164,491.2726382822069,3374.784460452297,22.826078161870118,,,,,,,,,,,,TRUE,TRUE,FALSE,approved_gate1_design; model_choice_pending_gate2
02,2016,Alaska,760000,760000,FALSE,TRUE,1503,558,TRUE,FALSE,Alaska,899986,786625,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled,2550.2,53463.9,41285.5,,,,16.37,44.6,5.05,18.73,224,nrstatehs1,2618,slstatehs,20,80,90436,20,FALSE,TRUE,TRUE,240.00541666666663,12,3.6540384615384616,52,1.2673605433996429,1.0213144495002715,919.1687061479513,803.3914788381511,228.7744366880608,2673.801228791711,19.129219639140086,1040000,1298,819.7002909429996,2708.7,,22.826078161870118,27,88933,491.2726382822069,3374.784460452297,2015,TRUE,TRUE,TRUE,approved_gate1_design; model_choice_pending_gate2
